company_name,domain,website_url,category,subcategory,description,year_founded,hq_city,hq_state,hq_country,founders,current_ceo,employee_range,funding_status,parent_company,linkedin_url,twitter_handle,instagram_handle,facebook_handle,phone,generic_email,email_pattern,status,notes
HelloFresh US,hellofresh.com,https://www.hellofresh.com,Meal Kit,General,"Weekly meal kit subscription, fresh pre-portioned ingredients with recipes",2011,New York,NY,USA,"Dominik Richter; Thomas Griesel; Jessica Nilsson",Dominik Richter,5000+,Public (FRA: HFG),HelloFresh SE,https://www.linkedin.com/company/hellofresh,@HelloFresh,@hellofresh,@HelloFreshUS,646-846-3663,info@hellofresh.com,first.last@hellofresh.com,Active,"US ops based NYC; parent HQ Berlin"
Blue Apron,blueapron.com,https://www.blueapron.com,Meal Kit,General,Meal kit pioneer with chef-curated recipes,2012,New York,NY,USA,"Matt Salzberg; Ilia Papas; Matt Wadiak",Linda Findley,500-1000,Acquired (2023),Wonder Group,https://www.linkedin.com/company/blue-apron,@blueapron,@blueapron,@blueapron,800-490-8149,contact@blueapron.com,first.last@blueapron.com,Active,Acquired by Wonder Group Oct 2023
Home Chef,homechef.com,https://www.homechef.com,Meal Kit,General,Customizable meal kits and prepared options,2013,Chicago,IL,USA,Pat Vihtelic,Pat Vihtelic,1000-5000,Acquired (2018),Kroger,https://www.linkedin.com/company/home-chef,@RealHomeChef,@realhomechef,@RealHomeChef,872-225-2433,help@homechef.com,first.last@homechef.com,Active,Kroger subsidiary
Sunbasket,sunbasket.com,https://sunbasket.com,Meal Kit,Organic,Organic and clean meal kits + prepared meals,2014,San Francisco,CA,USA,"Adam Zbar; Justine Kelly; Mike Wilson; Andy Kane; Pashon Murray",JJ Fliegelman,500-1000,Private (VC),Independent,https://www.linkedin.com/company/sun-basket,@sunbasket,@sunbasket,@SunBasket,415-855-5638,care@sunbasket.com,first@sunbasket.com,Active,
EveryPlate,everyplate.com,https://www.everyplate.com,Meal Kit,Budget,Value-priced meal kit,2018,New York,NY,USA,HelloFresh team,Dominik Richter,100-500,Subsidiary,HelloFresh SE,https://www.linkedin.com/company/everyplate,@EveryPlate,@everyplate,@everyplate,973-210-4915,hello@everyplate.com,first.last@everyplate.com,Active,Sub-brand of HelloFresh
Green Chef,greenchef.com,https://www.greenchef.com,Meal Kit,Organic/Diet,USDA-certified organic meal kits; keto/paleo/vegan options,2014,Denver,CO,USA,Michael Joseph,Dominik Richter,100-500,Acquired (2018),HelloFresh SE,https://www.linkedin.com/company/green-chef,@greenchef,@greenchef,@greenchef,888-236-7295,hello@greenchef.com,first.last@greenchef.com,Active,
Marley Spoon US,marleyspoon.com,https://marleyspoon.com,Meal Kit,Premium,"Meal kits including Martha Stewart line",2014,New York,NY,USA,"Fabian Siegel; Till Neatby",Fabian Siegel,500-1000,Public (ASX: MMM),Marley Spoon SE,https://www.linkedin.com/company/marley-spoon,@MarleySpoon,@marleyspoon,@MarleySpoon,646-846-3663,support@marleyspoon.com,first.last@marleyspoon.com,Active,
Dinnerly,dinnerly.com,https://dinnerly.com,Meal Kit,Budget,Lowest-cost meal kit subscription,2017,New York,NY,USA,Marley Spoon team,Fabian Siegel,100-500,Subsidiary,Marley Spoon SE,https://www.linkedin.com/company/dinnerly,@dinnerlyusa,@dinnerlyusa,@dinnerlyusa,646-846-3663,hello@dinnerly.com,first.last@marleyspoon.com,Active,Sub-brand of Marley Spoon
Gobble,gobble.com,https://www.gobble.com,Meal Kit,Fast-cook,15-minute one-pan meal kits,2010,Palo Alto,CA,USA,Ooshma Garg,Ooshma Garg,50-200,Private (VC),Independent,https://www.linkedin.com/company/gobble,@gobble,@gobble,@gobble,650-665-3010,support@gobble.com,first@gobble.com,Active,
Purple Carrot,purplecarrot.com,https://www.purplecarrot.com,Meal Kit,Plant-Based,100% plant-based meal kits and prepared,2014,Needham,MA,USA,Andy Levitt,Andy Levitt,50-200,Acquired (2019),Oisix ra daichi (Japan),https://www.linkedin.com/company/purplecarrot,@PurpleCarrot,@purplecarrot,@purplecarrot,857-321-5670,hello@purplecarrot.com,first@purplecarrot.com,Active,
CookUnity,cookunity.com,https://www.cookunity.com,Prepared Meal,Chef-prepared,Marketplace of chef-prepared single-serve meals,2018,New York,NY,USA,"Mateo Marietti; Santiago Tenorio",Mateo Marietti,500-1000,Private (Series C),Independent,https://www.linkedin.com/company/cookunity,@cookunity,@cookunity,@cookunity,332-203-1271,hello@cookunity.com,first.last@cookunity.com,Active,Raised $100M+ in funding
Hungryroot,hungryroot.com,https://www.hungryroot.com,Hybrid,Grocery+Meals,"AI-personalized groceries and quick meals",2015,New York,NY,USA,Ben McKean,Ben McKean,200-500,Private (Series C),Independent,https://www.linkedin.com/company/hungryroot,@hungryroot,@hungryroot,@hungryroot,646-846-1444,hello@hungryroot.com,first@hungryroot.com,Active,
Factor,factormeals.com,https://www.factormeals.com,Prepared Meal,Healthy,Ready-to-heat dietitian-designed meals,2013,Aurora,IL,USA,"Mike Apostal; Nick Wernimont",Dominik Richter,1000-5000,Acquired (2020),HelloFresh SE,https://www.linkedin.com/company/factor75,@Factor_meals,@factormeals,@factormeals,888-573-5727,info@factormeals.com,first.last@factor75.com,Active,Formerly Factor 75
Freshly,freshly.com,https://www.freshly.com,Prepared Meal,Healthy,Single-serve heat-and-eat meals,2012,New York,NY,USA,"Michael Wystrach; Carter Comstock",N/A,0,Defunct (2023),Nestle (acquired 2020),https://www.linkedin.com/company/freshly,@freshly,@freshly,@freshly,N/A,N/A,N/A,Defunct,Shut down by Nestle Jan 2023
Trifecta Nutrition,trifectanutrition.com,https://www.trifectanutrition.com,Prepared Meal,Athletic/Diet,Organic meals for athletes; keto/paleo/vegan/clean,2015,Sacramento,CA,USA,"Greg Connolly; Elliot Connolly",Greg Connolly,100-500,Private (VC),Independent,https://www.linkedin.com/company/trifecta-nutrition,@TrifectaSystem,@trifecta,@TrifectaSystem,916-269-9450,support@trifectanutrition.com,first.last@trifectanutrition.com,Active,
